member,C1,C2,lambda_wm2k,gamma,sai_efficacy,sai_nonlinearity_alpha,lag_years,ar1_phi,noise_sigma_c,peak_sai_command_wm2,peak_realized_cooling_wm2,max_cap_exceedance_c,mean_cap_exceedance_c,raw_peak_annual_warming_jump_c_yr_including_ar1_noise,raw_peak_annual_cooling_jump_c_yr_including_ar1_noise,max_command_change_wm2_yr
126,8.36865232363435,90.19661460703588,1.231628750928792,0.8593963519208934,0.992629592995976,0.0755853649163758,3,0.4029873690570227,0.12080959600751368,1.8274943714934662,1.5938619306064334,0.6505276435809753,0.041605388100420485,0.39518390879439524,0.3849735452841505,0.20000000000000007
127,8.326667156253508,72.52480045229652,0.8581478470794676,0.9368702518718438,0.7933817189507368,0.07830841051430336,3,0.5318145240935968,0.12010430709921105,2.0999596263397677,1.4307848741453097,0.5621633867279856,0.03990106726355275,0.2835680416651165,0.43281796610354906,0.20000000000000018
128,5.726190297965466,111.67622199818516,0.906496832863888,0.5676566498123882,0.7662870701670262,0.15037829460984414,1,0.4759552723497196,0.0880501393902454,1.487383700903607,0.931429788580672,0.3305660809825006,0.03610587193413785,0.2954808555548838,0.27776565146631227,0.20000000000000007
129,11.822834332022401,77.14450222787102,1.7124282530671342,0.7421967436748425,0.8601230190937009,0.22183522506728232,3,0.6344201492933914,0.11181840788908948,2.2327345688765927,1.2843091399709659,0.3596449476472199,0.06214743173982519,0.21810691808322324,0.244416864948244,0.20000000000000018
130,8.829297622310888,109.71638202239397,1.0832995808663475,0.9072091439951174,0.8860984969706085,0.14474115766932502,1,0.6941112592557755,0.08485211838084751,1.583723993279566,1.1416377729006704,0.24650469921334506,0.03879785762936706,0.16797535682260045,0.15711406254408133,0.20000000000000007
131,8.13386313801521,71.43841926562567,1.6229723091446402,0.506249422429558,1.06009102136195,0.06732993188893986,2,0.4378855923703806,0.12110234263069115,1.67095416997106,1.5922293794261528,0.33824355747714474,0.04005861920189595,0.34234792712877427,0.42824260436115674,0.20000000000000007
132,6.799378929570047,90.0251065726868,1.79845919717961,0.9877859112547545,0.997937629794394,0.12593283770903646,2,0.6170995389601219,0.12775705503439794,1.8259573615707314,1.4815191969478878,0.48434999304184356,0.054507215385443265,0.36531258826844154,0.38528899145797046,0.20000000000000007
133,11.380359037330411,143.5418957872106,0.9826683298309421,0.969111122557521,0.7712377713466338,0.1493680187680842,3,0.3411777270250567,0.10221488448846469,1.8651950525566834,1.125065168629907,0.3992605716606257,0.049625759815214686,0.3091014916044378,0.25486761264490887,0.20000000000000007
134,10.951342027556862,81.17204435386064,1.0782283222690205,0.7790917758963298,0.8354279417764109,0.05569659382149442,3,0.3289320048949748,0.1183137787887854,1.7743404968504028,1.3490173634409537,0.5394735738354159,0.044145579301966276,0.44477131641637135,0.43515818241532045,0.20000000000000007
135,9.840185550248613,134.57644530195677,1.536991779248765,0.8662100409677642,0.9716150588447849,0.08560975204208693,3,0.5797581577623552,0.08275417486998268,1.9175002158795191,1.6003619239959657,0.3437383607282274,0.04497262354326329,0.2659123296603416,0.22425592839613073,0.20000000000000007
