year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,sai_realized_forcing_wm2
2157,311.84633188836415,1.2661154455278436,1.0,0.9001459588128056,0.5578630270655089,-0.5254914756536597
2158,311.8932269365416,1.2719811517053463,1.0,0.906975271117223,0.5550722851990256,-0.5228608581388593
2159,311.9273476001471,1.260027630875699,1.0,0.8959836916396888,0.5519517959482163,-0.520408560902548
2160,311.95454737836326,1.2394744373652378,1.0,0.8764341887429135,0.5482448216105036,-0.5176646818468936
2161,312.00719763098823,1.2296278807267764,1.0,0.8676970670881815,0.5442757336231491,-0.5144025945671686
2162,312.0825532910606,1.225769052162351,1.0,0.8650594156367909,0.5402275160922527,-0.5109068308051997
2163,312.19141695562496,1.2211355241761173,1.0,0.861740275496703,0.5360797243571538,-0.5073381524990457
2164,312.2620316414223,1.2375879235703315,1.0,0.8795894467472347,0.5324674077595709,-0.5036783163950271
2165,312.2564786882802,1.2382628942697895,1.0,0.8816556191386424,0.5289170763337302,-0.5004881710717806
2166,312.19521639926955,1.2474273672481997,1.0,0.8922013304321994,0.5256831162466962,-0.4973502326196028
2167,312.16429303601217,1.254278606959493,1.0,0.9003884542480424,0.5226947698741374,-0.49448972810032493
2168,312.1350135535085,1.2479490481653652,1.0,0.8953324858120576,0.5195547444484991,-0.4918446168179579
2169,312.1034401230786,1.2412332700427888,1.0,0.8898658452141206,0.5162507198049228,-0.4890633240095117
2170,312.07250060847025,1.2303023685238434,1.0,0.8801887460456164,0.5126563821862913,-0.4861346370490797
2171,312.02636463111736,1.2101701714394657,1.0,0.8613522638858725,0.5084969501028674,-0.4829461321579372
2172,311.98638423894323,1.211615536447789,1.0,0.8641973458201306,0.5044228704774714,-0.479253101264431
2173,311.952239523276,1.2186313804356477,1.0,0.8726797452269152,0.5006032628342788,-0.47563248223944576
2174,311.923320406924,1.210505260365846,1.0,0.8660384766954282,0.4965844171351417,-0.4722349783178329
2175,311.88076305002346,1.2096888326537976,1.0,0.8667475106381552,0.49258684245428636,-0.4686570807419612
2176,311.8477396452747,1.221222236482537,1.0,0.879835231779702,0.4889818994076774,-0.46509488778821884
2177,311.80222716808737,1.2170855258328228,1.0,0.877225805590466,0.4852986735753914,-0.46187979620227504
2178,311.75502713775063,1.2228592328263157,1.0,0.8845190025101284,0.48183424365069527,-0.458592172795052
2179,311.7312013602398,1.2138433874399,1.0,0.876990936414046,0.4781439717431166,-0.455497337820271
2180,311.6882537147985,1.216832029400247,1.0,0.8814749512345503,0.47458822028015313,-0.45219807756455827
