tau_years,year,global_cooling_c,geomip_implied_injection_center_tgso2yr,geomip_implied_injection_low_tgso2yr,geomip_implied_injection_high_tgso2yr,geomip_precip_response_scale_center_mmday,geomip_precip_response_scale_low_mmday,geomip_precip_response_scale_high_mmday
1.5,2062,0.5011257119122903,4.55568829011173,4.1760475992690855,5.011257119122902,-0.03937416307882281,-0.053692040562031106,-0.025056285595614517
1.5,2063,0.5031577106230476,4.574161005664069,4.19298092185873,5.0315771062304755,-0.03953382012038232,-0.05390975470961225,-0.025157885531152384
1.5,2064,0.5036654927423947,4.578777206749042,4.197212439519956,5.036654927423947,-0.03957371728690245,-0.05396415993668515,-0.02518327463711974
1.5,2065,0.5013246733493413,4.557497030448557,4.177705611244511,5.013246733493412,-0.03938979576316254,-0.053713357858857995,-0.025066233667467068
1.5,2066,0.5026043589498836,4.569130535908033,4.188369657915697,5.026043589498836,-0.03949034248891944,-0.05385046703034468,-0.025130217947494187
1.5,2067,0.49933687900059875,4.539426172732716,4.161140658338323,4.993368790005987,-0.03923361192147562,-0.0535003798929213,-0.024966843950029943
1.5,2068,0.4987332006498093,4.533938187725539,4.156110005415078,4.987332006498093,-0.03918618005105645,-0.05343570006962243,-0.02493666003249047
1.5,2069,0.49724409162842753,4.520400832985705,4.143700763570229,4.972440916284275,-0.039069178627947884,-0.05327615267447438,-0.024862204581421382
1.5,2070,0.49644889865099473,4.513171805918134,4.137074155424957,4.964488986509947,-0.03900669917972102,-0.0531909534268923,-0.02482244493254974
1.5,2071,0.5013167320402119,4.557424836729199,4.177639433668433,5.013167320402118,-0.03938917180315951,-0.05371250700430842,-0.0250658366020106
1.5,2072,0.506634945349284,4.605772230448037,4.2219578779107,5.0663494534928395,-0.03980703142030089,-0.05428231557313758,-0.025331747267464205
1.5,2073,0.5088667830277145,4.626061663888313,4.2405565252309545,5.088667830277145,-0.039982390095034716,-0.0545214410386837,-0.02544333915138573
1.5,2074,0.5102400579405981,4.638545981278165,4.2520004828383176,5.102400579405981,-0.04009029026676129,-0.05466857763649266,-0.02551200289702991
1.5,2075,0.5078814594690781,4.61710417699162,4.232345495575651,5.0788145946907814,-0.03990497181542758,-0.054415870657401236,-0.02539407297345391
1.5,2076,0.5055926773564807,4.5962970668770975,4.2132723113040065,5.055926773564807,-0.03972513893515206,-0.05417064400248008,-0.02527963386782404
1.5,2077,0.5058480466086055,4.598618605532777,4.215400388405046,5.0584804660860545,-0.039745203662104725,-0.054198004993779164,-0.02529240233043028
1.5,2078,0.5033557580249017,4.575961436590016,4.194631316874181,5.033557580249017,-0.03954938098767086,-0.05393097407409662,-0.025167787901245093
1.5,2079,0.4994665478735101,4.540604980668274,4.162221232279251,4.994665478735101,-0.03924380019006151,-0.053514272986447516,-0.02497332739367551
1.5,2080,0.4980938027784503,4.5281254798040935,4.150781689820419,4.980938027784503,-0.03913594164687824,-0.053367193154833965,-0.02490469013892252
1.5,2081,0.49904292184724564,4.53675383497496,4.158691015393714,4.990429218472456,-0.03921051528799788,-0.05346888448363347,-0.024952146092362286
1.5,2082,0.5027435647725607,4.570396043386915,4.189529706438005,5.027435647725606,-0.03950128008927263,-0.05386538193991722,-0.025137178238628037
1.5,2083,0.5053896181189432,4.594451073808575,4.211580150991193,5.053896181189432,-0.039709184280774114,-0.054148887655601066,-0.025269480905947165
1.5,2084,0.5055401061195959,4.595819146541781,4.212834217663299,5.055401061195958,-0.03972100833796825,-0.0541650113699567,-0.0252770053059798
1.5,2085,0.5035587202808558,4.57780654800778,4.196322669007132,5.035587202808558,-0.03956532802206725,-0.053952720030091696,-0.025177936014042796
1.5,2086,0.49863910331416683,4.533082757401517,4.155325860951391,4.986391033141668,-0.039178786688970256,-0.053425618212232164,-0.024931955165708345
1.5,2087,0.4929337562105143,4.481215965550129,4.107781301754286,4.929337562105142,-0.038730509416540417,-0.0528143310225551,-0.02464668781052572
1.5,2088,0.48791736625031,4.435612420457364,4.065978052085917,4.8791736625031,-0.038336364491095794,-0.05227686066967608,-0.024395868312515504
1.5,2089,0.4864279819166095,4.422072562878268,4.053566515971746,4.864279819166095,-0.03821934143630504,-0.05211728377677959,-0.02432139909583048
1.5,2090,0.4871814218693544,4.4289220169941315,4.05984518224462,4.871814218693544,-0.038278540289735,-0.05219800948600226,-0.024359071093467726
1.5,2091,0.48534283719850113,4.412207610895464,4.044523643320843,4.853428371985011,-0.03813408006559652,-0.05200101827126798,-0.02426714185992506
1.5,2092,0.48392629947433496,4.399329995221227,4.032719162286125,4.83926299474335,-0.03802278067298347,-0.05184924637225018,-0.024196314973716753
1.5,2093,0.4866902988864439,4.424457262604036,4.055752490720366,4.866902988864439,-0.03823995205536345,-0.0521453891664047,-0.0243345149443222
1.5,2094,0.49182466867606167,4.47113335160056,4.0985389056338475,4.918246686760616,-0.038643366824547706,-0.052695500215292325,-0.024591233433803088
1.5,2095,0.4964952484474354,4.5135931677039585,4.137460403728629,4.964952484474354,-0.03901034094944136,-0.05319591947651094,-0.024824762422371777
1.5,2096,0.498595589198769,4.532687174534264,4.154963243323075,4.98595589198769,-0.03917536772276043,-0.0534209559855824,-0.024929779459938455
1.5,2097,0.4992751617978195,4.538865107252905,4.160626348315163,4.992751617978195,-0.03922876271268583,-0.05349376733548066,-0.02496375808989098
1.5,2098,0.49713748942830693,4.519431722075518,4.142812411902558,4.971374894283069,-0.03906080274079555,-0.053264731010175745,-0.024856874471415352
1.5,2099,0.49121085662831887,4.465553242075626,4.09342380523599,4.912108566283188,-0.038595138735082204,-0.052629734638748454,-0.024560542831415948
1.5,2100,0.4802114945151321,4.365559041046656,4.001762454292768,4.802114945151321,-0.03773090314047467,-0.05145123155519273,-0.02401057472575661
1.5,2101,0.4761119279392738,4.328290253993399,3.9675993994939485,4.761119279392738,-0.037408794338085805,-0.05101199227920791,-0.023805596396963696
1.5,2102,0.47579246112218954,4.325386010201723,3.964937176018246,4.757924611221895,-0.03738369337388633,-0.05097776369166317,-0.02378962305610948
1.5,2103,0.4758743825941951,4.326130750856319,3.965619854951626,4.758743825941951,-0.03739013006097248,-0.050986540992235194,-0.02379371912970976
1.5,2104,0.47658919125700927,4.332629011427357,3.9715765938084107,4.765891912570092,-0.03744629359876502,-0.051063127634679566,-0.02382945956285047
1.5,2105,0.47956538362040435,4.359685305640039,3.996378196836703,4.7956538362040435,-0.03768013728446035,-0.05138200538790047,-0.023978269181020223
1.5,2106,0.48265451018757743,4.387768274432522,4.022120918229812,4.826545101875774,-0.03792285437188109,-0.0517129832343833,-0.024132725509378877
1.5,2107,0.4811247813881281,4.373861648982983,4.009373178234401,4.81124781388128,-0.0378026613947815,-0.05154908372015658,-0.024056239069406408
1.5,2108,0.47810412839478666,4.346401167225333,3.9842010699565558,4.781041283947866,-0.0375653243738761,-0.05122544232801286,-0.02390520641973934
1.5,2109,0.470027550874212,4.272977735220109,3.9168962572851003,4.70027550874212,-0.03693073614011666,-0.05036009473652272,-0.023501377543710605
1.5,2110,0.4621394130119856,4.2012673910180505,3.85116177509988,4.621394130119856,-0.03631095387951316,-0.04951493710842703,-0.023106970650599284
1.5,2111,0.4583337581422642,4.166670528566038,3.8194479845188685,4.583337581422642,-0.03601193813974934,-0.04910718837238545,-0.022916687907113212
1.5,2112,0.4582531829013148,4.1659380263755885,3.8187765241776233,4.582531829013147,-0.03600560722796045,-0.049098555310855156,-0.022912659145065743
1.5,2113,0.4574861074975991,4.158964613614537,3.812384229146659,4.574861074975991,-0.035945337017668506,-0.04901636866045705,-0.022874305374879958
1.5,2114,0.45693030196766093,4.1539118360696445,3.8077525163971746,4.569303019676609,-0.03590166658317336,-0.048956818067963676,-0.02284651509838305
1.5,2115,0.4543934845462232,4.13084985951112,3.786612371218527,4.543934845462232,-0.035702345214346114,-0.04868501620138106,-0.022719674227311165
1.5,2116,0.4536528771990933,4.124117065446303,3.7804406433257776,4.536528771990933,-0.03564415463707162,-0.04860566541418857,-0.02268264385995467
1.5,2117,0.4494005443398825,4.085459493998932,3.7450045361656876,4.494005443398825,-0.035310042769562205,-0.048150058322130276,-0.02247002721699413
1.5,2118,0.4431225697351493,4.028386997592266,3.6926880811262444,4.4312256973514925,-0.034816773336333165,-0.04747741818590886,-0.02215612848675747
1.5,2119,0.43902274005005726,3.9911158186368842,3.658522833750477,4.390227400500573,-0.03449464386107593,-0.047038150719648994,-0.02195113700250287
1.5,2120,0.43060906495170004,3.914627863197273,3.5884088745975005,4.306090649517,-0.03383356938906215,-0.04613668553053929,-0.021530453247585006
1.5,2121,0.42128675553957495,3.829879595814318,3.5107229628297913,4.212867555395749,-0.033101102220966606,-0.045137866664954465,-0.02106433777697875
1.5,2122,0.421939282682835,3.8358116607530452,3.516160689023625,4.21939282682835,-0.03315237221079418,-0.04520778028744661,-0.021096964134141753
1.5,2123,0.42059106852559425,3.8235551684144933,3.504925571046619,4.205910685255942,-0.03304644109843955,-0.04506332877059939,-0.021029553426279716
1.5,2124,0.4202463736086872,3.820421578260793,3.502053113405727,4.202463736086872,-0.03301935792639686,-0.045026397172359345,-0.021012318680434364
1.5,2125,0.419828619330459,3.8166238120950817,3.498571827753825,4.19828619330459,-0.03298653437596464,-0.04498163778540633,-0.020991430966522954
1.5,2126,0.42129108359654466,3.8299189417867696,3.5107590299712057,4.212910835965446,-0.03310144228258566,-0.04513833038534407,-0.021064554179827236
1.5,2127,0.41519766902821953,3.774524263892905,3.459980575235163,4.151976690282195,-0.032622673995074396,-0.04448546453873781,-0.02075988345141098
1.5,2128,0.40694279032718494,3.6994799120653177,3.391189919393208,4.0694279032718494,-0.03197407638285025,-0.04360101324934125,-0.02034713951635925
1.5,2129,0.400509937386879,3.640999430789809,3.337582811557325,4.00509937386879,-0.0314686379375405,-0.04291177900573704,-0.020025496869343955
1.5,2130,0.394938583189945,3.5903507562722274,3.2911548599162086,3.94938583189945,-0.03103088867920997,-0.042314848198922686,-0.019746929159497256
1.5,2131,0.3905749287787672,3.5506811707160657,3.2547910731563934,3.905749287787672,-0.030688030118331714,-0.041847313797725064,-0.019528746438938364
1.5,2132,0.3865027697409278,3.5136615430993436,3.2208564145077316,3.865027697409278,-0.030368074765358615,-0.041411011043670835,-0.01932513848704639
1.5,2133,0.3847867462361163,3.4980613294192393,3.2065562186343026,3.847867462361163,-0.03023324434712343,-0.041227151382441034,-0.01923933731180582
1.5,2134,0.38929105872248204,3.539009624749837,3.2440921560206837,3.8929105872248204,-0.030587154613909307,-0.04170975629169451,-0.019464552936124105
1.5,2135,0.39140944373376696,3.5582676703069724,3.2617453644480583,3.9140944373376696,-0.030753599150510267,-0.041936726114332176,-0.01957047218668835
1.5,2136,0.3925436091680765,3.568578265164332,3.2711967430673043,3.925436091680765,-0.0308427121489203,-0.04205824383943677,-0.01962718045840383
1.5,2137,0.39052833011591837,3.5502575465083486,3.2544027509659865,3.9052833011591837,-0.030684368794822163,-0.0418423210838484,-0.01952641650579592
1.5,2138,0.3876429525096383,3.524026840996712,3.2303579375803193,3.876429525096383,-0.03045766055432873,-0.041533173483175534,-0.01938214762548192
1.5,2139,0.38482989895822417,3.498453626892947,3.206915824651868,3.8482989895822417,-0.03023663491814619,-0.041231774888381166,-0.019241494947911213
1.5,2140,0.382435961778671,3.476690561624282,3.186966348155592,3.82435961778671,-0.03004853985403844,-0.04097528161914332,-0.019121798088933554
1.5,2141,0.3804925606822869,3.4590232789298807,3.1707713390190575,3.8049256068228687,-0.029895844053608258,-0.04076706007310217,-0.01902462803411435
1.5,2142,0.37893785103796285,3.444889554890571,3.157815425316357,3.7893785103796285,-0.029773688295839942,-0.04060048403978174,-0.018946892551898145
1.5,2143,0.3777123008317457,3.4337481893795063,3.147602506931214,3.7771230083174565,-0.02967739506535145,-0.040469175089115614,-0.018885615041587287
1.5,2144,0.37671340172119494,3.4246672883744993,3.139278347676625,3.767134017211949,-0.02959891013523675,-0.04036215018441375,-0.018835670086059752
1.5,2145,0.3758760594899868,3.4170550862726072,3.1323004957498903,3.758760594899868,-0.02953311895992754,-0.040272434945355734,-0.018793802974499344
1.5,2146,0.37516982563313006,3.4106347784830007,3.1264152136094174,3.7516982563313004,-0.029477629156888795,-0.04019676703212108,-0.018758491281656506
1.5,2147,0.37456448050233737,3.40513164093034,3.1213706708528117,3.7456448050233737,-0.029430066325183656,-0.040131908625250436,-0.018728224025116872
1.5,2148,0.37400172620938443,3.4000156928125858,3.1166810517448704,3.7400172620938443,-0.02938584991645164,-0.040071613522434046,-0.018700086310469224
1.5,2149,0.3734359188263977,3.394871989330888,3.111965990219981,3.734359188263977,-0.02934139362207411,-0.04001099130282833,-0.018671795941319888
1.5,2150,0.3728547326034497,3.389588478213179,3.107122771695414,3.728547326034497,-0.029295728990271053,-0.039948721350369615,-0.018642736630172487
