tau_years,year,co2_ppm,baseline_temperature_c,temperature_cap_c,controlled_temperature_c,sai_command_magnitude_wm2,aerosol_reservoir_magnitude_wm2,sai_realized_forcing_wm2
0.67,2135,326.08065099936607,1.4003069669295494,1.0,1.0079988487324354,0.6399942436621769,0.5936257622535869,-0.5936257622535869
0.67,2136,325.37731756317453,1.3844035359245612,1.0,0.9923442735857018,0.599770328207571,0.5941861638035645,-0.5941861638035645
0.67,2137,324.6538632860047,1.3802280036443932,1.0,0.9920659487963546,0.5995323066714616,0.567298767354093,-0.567298767354093
0.67,2138,323.9428422026162,1.364745412987865,1.0,0.9801850585592573,0.5989378584282394,0.5610938658863789,-0.5610938658863789
0.67,2139,323.23800539570215,1.3649788162362868,1.0,0.9831786084707268,0.5984332166823612,0.5592979322631106,-0.5592979322631106
0.67,2140,322.53232577448034,1.3396661549662416,1.0,0.9598660849689844,0.5972291992314307,0.5585536901314039,-0.5585536901314039
0.67,2141,321.8386978781396,1.3305548464821126,1.0,0.9522376093721769,0.5957963275125959,0.5575738017021608,-0.5575738017021608
0.67,2142,321.1399807413744,1.3377212484765155,1.0,0.9605418245728896,0.5946125822497826,0.556386202147916,-0.556386202147916
0.67,2143,320.45198606793633,1.3166991753626025,1.0,0.9403906943652383,0.5928243030807397,0.5553198576858422,-0.5553198576858422
0.67,2144,319.7635784409158,1.3178432538674425,1.0,0.9422673334608429,0.591092323084565,0.5538721343270078,-0.5538721343270078
0.67,2145,319.0638488247669,1.325747485042977,1.0,0.9508115558350149,0.5896166697596155,0.552376245780585,-0.552376245780585
0.67,2146,318.38381900747527,1.32454802160015,1.0,0.9501627572000071,0.5881215524756157,0.551042391681121,-0.551042391681121
0.67,2147,317.70910934547896,1.305765971119425,1.0,0.9318642061722027,0.5860774786607819,0.5497314685185499,-0.5497314685185499
0.67,2148,317.03256645606484,1.2955224761157094,1.0,0.9221087710845284,0.5837407417933177,0.5480539207842952,-0.5480539207842952
0.67,2149,316.3604132387955,1.2976693290970491,1.0,0.924788241440015,0.5814843890365181,0.5460951871812573,-0.5460951871812573
0.67,2150,315.680385445181,1.280067516810807,1.0,0.907753940971253,0.5787170072656558,0.5441268636277076,-0.5441268636277076
0.67,2151,315.0209026776864,1.256280785757974,1.0,0.8846111268941557,0.5752553410724806,0.541809260078573,-0.541809260078573
0.67,2152,314.35940488110043,1.2639546180938477,1.0,0.8930643005291812,0.572047270088356,0.5389410648454539,-0.5389410648454539
0.67,2153,313.7197960089384,1.2748310299977506,1.0,0.9048132178262107,0.5691916666231422,0.536119417676121,-0.536119417676121
0.67,2154,313.06230356889847,1.2634828642879434,1.0,0.8943711949167878,0.5660228024706458,0.5335460855579237,-0.5335460855579237
